ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
686,2025-06-04T12:12:02.847888,NYC_GOID_000397,PrincipalOfficerFamilyName,,Banerjea,System_NameParseRule,Parsed from: 'Sreoshy Banerjea',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
687,2025-06-04T12:12:02.847918,NYC_GOID_000398,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
688,2025-06-04T12:12:02.847966,NYC_GOID_000399,PrincipalOfficerFullName,,Ya-Ting Liu,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
689,2025-06-04T12:12:02.848015,NYC_GOID_000399,PrincipalOfficerGivenName,,Ya-Ting,System_NameParseRule,Parsed from: 'Ya-Ting Liu',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
690,2025-06-04T12:12:02.848041,NYC_GOID_000399,PrincipalOfficerFamilyName,,Liu,System_NameParseRule,Parsed from: 'Ya-Ting Liu',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
691,2025-06-04T12:12:02.848070,NYC_GOID_000400,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
692,2025-06-04T12:12:02.848095,NYC_GOID_000401,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
693,2025-06-04T12:12:02.848143,NYC_GOID_000402,PrincipalOfficerFullName,,Dennis M. Walcott,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
694,2025-06-04T12:12:02.848210,NYC_GOID_000402,PrincipalOfficerGivenName,,Dennis,System_NameParseRule,Parsed from: 'Dennis M. Walcott',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
695,2025-06-04T12:12:02.848235,NYC_GOID_000402,PrincipalOfficerMiddleNameOrInitial,,M.,System_NameParseRule,Parsed from: 'Dennis M. Walcott',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
696,2025-06-04T12:12:02.848259,NYC_GOID_000402,PrincipalOfficerFamilyName,,Walcott,System_NameParseRule,Parsed from: 'Dennis M. Walcott',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
697,2025-06-04T12:12:02.848289,NYC_GOID_000403,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
698,2025-06-04T12:12:02.848315,NYC_GOID_000404,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
699,2025-06-04T12:12:02.848348,NYC_GOID_000405,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
700,2025-06-04T12:12:02.848370,NYC_GOID_000406,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
701,2025-06-04T12:12:02.848392,NYC_GOID_000407,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
702,2025-06-04T12:12:02.848439,NYC_GOID_000408,PrincipalOfficerFullName,,Andrew McLaughlin,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
703,2025-06-04T12:12:02.848491,NYC_GOID_000408,PrincipalOfficerGivenName,,Andrew,System_NameParseRule,Parsed from: 'Andrew McLaughlin',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
704,2025-06-04T12:12:02.848517,NYC_GOID_000408,PrincipalOfficerFamilyName,,McLaughlin,System_NameParseRule,Parsed from: 'Andrew McLaughlin',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
705,2025-06-04T12:12:02.848547,NYC_GOID_000409,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
706,2025-06-04T12:12:02.848571,NYC_GOID_000410,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
707,2025-06-04T12:12:02.848594,NYC_GOID_000411,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
708,2025-06-04T12:12:02.848616,NYC_GOID_000412,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
709,2025-06-04T12:12:02.848637,NYC_GOID_000413,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
710,2025-06-04T12:12:02.848659,NYC_GOID_000414,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
711,2025-06-04T12:12:02.848704,NYC_GOID_000415,PrincipalOfficerFullName,,David Womack,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
712,2025-06-04T12:12:02.848752,NYC_GOID_000415,PrincipalOfficerGivenName,,David,System_NameParseRule,Parsed from: 'David Womack',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
713,2025-06-04T12:12:02.848779,NYC_GOID_000415,PrincipalOfficerFamilyName,,Womack,System_NameParseRule,Parsed from: 'David Womack',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
714,2025-06-04T12:12:02.848829,NYC_GOID_000416,PrincipalOfficerFullName,,Nina Kubota,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
715,2025-06-04T12:12:02.848874,NYC_GOID_000416,PrincipalOfficerGivenName,,Nina,System_NameParseRule,Parsed from: 'Nina Kubota',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
716,2025-06-04T12:12:02.848900,NYC_GOID_000416,PrincipalOfficerFamilyName,,Kubota,System_NameParseRule,Parsed from: 'Nina Kubota',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
717,2025-06-04T12:12:02.848928,NYC_GOID_000418,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
718,2025-06-04T12:12:02.848952,NYC_GOID_000419,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
